Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
JALAN BESAR CONSERVATION AREA,SAM LEONG ROAD,Shop House,"9,855,000","1,349.81","7,301",Jul-24,Land,125.4,"78,589",999 yrs lease commencing from 1919,08,-
LITTLE INDIA CONSERVATION AREA,UPPER WELD ROAD,Shop House,"10,800,000","1,721.16","6,275",Jul-24,Land,159.9,"67,542",Freehold,08,-
JALAN BESAR CONSERVATION AREA,FOCH ROAD,Shop House,"9,680,000","1,495.12","6,474",Jul-24,Land,138.9,"69,690",Freehold,08,-
ENG KONG PARK,ENG KONG TERRACE,Shop House,"3,928,000","1,520.95","2,583",Jul-24,Land,141.3,"27,799",Freehold,21,-
THE RAIL MALL,UPPER BUKIT TIMAH ROAD,Shop House,"78,500,000","105,562.55",744,Jun-24,Land,"9,807","8,004",99 yrs lease commencing from 1947,23,-
BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,Shop House,"5,300,000","1,491.89","3,553",Jun-24,Land,138.6,"38,240",Freehold,02,-
MAYFAIR PARK,RIFLE RANGE ROAD,Shop House,"1,250,000","1,097.93","1,139",Jun-24,Strata,102,"12,255",99 yrs lease commencing from 1952,21,-
N.A.,SYED ALWI ROAD,Shop House,"4,100,000","1,301.37","3,151",Jun-24,Land,120.9,"33,912",99 yrs lease commencing from 1999,08,-
BOAT QUAY CONSERVATION AREA,CIRCULAR ROAD,Shop House,"12,280,000","1,188.35","10,334",Jun-24,Land,110.4,"111,232",999 yrs lease commencing from 1826,01,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"6,000,000","1,377.79","4,355",Jun-24,Land,128,"46,875",Freehold,14,-
TELOK AYER CONSERVATION AREA,TELOK AYER STREET,Shop House,"16,500,000","1,429.46","11,543",May-24,Land,132.8,"124,247",999 yrs lease commencing from 1829,01,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"5,000,888",811.61,"6,162",May-24,Land,75.4,"66,325",999 yrs lease commencing from 1859,08,-
DESKER ROAD CONSERVATION AREA,ROWELL ROAD,Shop House,"5,300,000","1,190.5","4,452",May-24,Land,110.6,"47,920",Freehold,08,-
KAMPONG GLAM CONSERVATION AREA,ARAB STREET,Shop House,"7,100,000","1,187.27","5,980",May-24,Land,110.3,"64,370",Freehold,07,-
N.A.,BIRCH ROAD,Shop House,"4,750,000","1,285.22","3,696",May-24,Land,119.4,"39,782",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"4,300,000",637.23,"6,748",Apr-24,Land,59.2,"72,635",999 yrs lease commencing from 1877,08,-
N.A.,YIO CHU KANG ROAD,Shop House,"3,500,000","1,601.68","2,185",Apr-24,Land,148.8,"23,522",Freehold,19,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"4,400,000",642.61,"6,847",Apr-24,Land,59.7,"73,702",999 yrs lease commencing from 1877,08,-
YEW LIAN PARK,UPPER THOMSON ROAD,Shop House,"10,000,000","1,607.07","6,223",Apr-24,Land,149.3,"66,979",Freehold,20,-
N.A.,RIVER VALLEY ROAD,Shop House,"6,550,000","1,291.68","5,071",Apr-24,Strata,120,"54,583",999 yrs lease commencing from 1964,10,-
ENG KONG PARK,ENG KONG TERRACE,Shop House,"4,380,000","1,517.72","2,886",Apr-24,Land,141,"31,064",Freehold,21,-
N.A.,LORONG 24A GEYLANG,Shop House,"3,080,000","1,560.78","1,973",Apr-24,Land,145,"21,241",Freehold,14,-
LITTLE INDIA CONSERVATION AREA,CLIVE STREET,Shop House,"5,225,000",707.19,"7,388",Apr-24,Land,65.7,"79,528",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,850,000",811.61,"5,976",Apr-24,Land,75.4,"64,324",999 yrs lease commencing from 1859,08,-
N.A.,TANJONG KATONG ROAD,Shop House,"2,750,000","1,463.9","1,879",Apr-24,Strata,136,"20,221",Freehold,15,-
LITTLE INDIA CONSERVATION AREA,NORRIS ROAD,Shop House,"6,700,000",988.14,"6,780",Mar-24,Land,91.8,"72,985",999 yrs lease commencing from 1909,08,-
N.A.,SIXTH AVENUE,Shop House,"13,800,000","2,450.96","5,630",Mar-24,Land,227.7,"60,606",Freehold,10,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,938,000",710.42,"6,951",Mar-24,Land,66,"74,818",999 yrs lease commencing from 1879,08,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,938,000",691.05,"7,146",Mar-24,Land,64.2,"76,916",999 yrs lease commencing from 1879,08,-
KAMPONG GLAM CONSERVATION AREA,BUSSORAH STREET,Shop House,"4,500,000",689.97,"6,522",Mar-24,Land,64.1,"70,203",99 yrs lease commencing from 2003,07,-
LITTLE INDIA CONSERVATION AREA,VEERASAMY ROAD,Shop House,"7,400,000","2,174.33","3,403",Mar-24,Land,202,"36,634",Freehold,08,-
KRETA AYER CONSERVATION AREA,PAGODA STREET,Shop House,"19,000,000","1,309.98","14,504",Mar-24,Land,121.7,"156,122",Freehold,01,-
KAMPONG GLAM CONSERVATION AREA,JALAN PINANG,Shop House,"4,180,000",699.66,"5,974",Mar-24,Land,65,"64,308",Freehold,07,-
SEASIDE PARK,JALAN SAUDARA KU,Shop House,"1,865,000",947.23,"1,969",Mar-24,Strata,88,"21,193",999 yrs lease commencing from 1965,15,-
KRETA AYER CONSERVATION AREA,MOSQUE STREET,Shop House,"15,930,000","1,202.34","13,249",Mar-24,Land,111.7,"142,614",Freehold,01,-
GEYLANG CONSERVATION AREA,LORONG 13 GEYLANG,Shop House,"2,800,000","1,214.18","2,306",Mar-24,Land,112.8,"24,823",Freehold,14,-
N.A.,BALESTIER ROAD,Shop House,"6,432,100","1,756.68","3,661",Mar-24,Land,163.2,"39,412",Freehold,12,-
N.A.,EAST COAST ROAD,Shop House,"10,300,000","1,862.17","5,531",Feb-24,Land,173,"59,538",Freehold,15,-
